Importance,Level,Job Zone,Code,Occupation
72,57,2,27-2011.00,Actors
63,57,4,27-2042.00,Musicians and Singers
53,48,5,21-2011.00,Clergy
53,46,5,19-1029.01,Bioinformatics Scientists
53,45,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
53,45,4,27-2032.00,Choreographers
53,45,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
53,45,3,13-1041.04,Government Property Inspectors and Investigators
53,45,5,25-9031.00,Instructional Coordinators
53,43,5,29-1141.04,Clinical Nurse Specialists
53,43,5,25-9021.00,Farm and Home Management Educators
53,43,5,29-1161.00,Nurse Midwives
53,43,5,29-1229.05,Preventive Medicine Physicians
53,43,4,29-1141.00,Registered Nurses
50,54,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
50,52,4,27-2041.00,Music Directors and Composers
50,45,5,19-1021.00,Biochemists and Biophysicists
50,45,5,25-1052.00,"Chemistry Teachers, Postsecondary"
50,45,4,17-2081.00,Environmental Engineers
50,45,5,29-1171.00,Nurse Practitioners
50,45,5,29-1051.00,Pharmacists
50,45,3,33-3051.00,Police and Sheriff's Patrol Officers
50,45,3,17-3024.01,Robotics Technicians
50,45,4,41-9031.00,Sales Engineers
50,45,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
50,45,4,13-1151.00,Training and Development Specialists
50,43,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
50,43,3,53-2021.00,Air Traffic Controllers
50,43,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
50,43,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
50,43,5,19-1029.04,Biologists
50,43,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
50,43,5,29-1213.00,Dermatologists
50,43,5,25-1063.00,"Economics Teachers, Postsecondary"
50,43,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
50,43,5,19-3011.01,Environmental Economists
50,43,5,29-1216.00,General Internal Medicine Physicians
50,43,4,17-1022.01,Geodetic Surveyors
50,43,5,29-1229.02,Hospitalists
50,43,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
50,43,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
50,43,5,29-1151.00,Nurse Anesthetists
50,43,5,29-1081.00,Podiatrists
50,43,5,29-1223.00,Psychiatrists
50,43,5,29-1224.00,Radiologists
50,43,4,17-2199.08,Robotics Engineers
50,43,4,11-2022.00,Sales Managers
50,43,3,29-9093.00,Surgical Assistants
50,43,5,29-1229.03,Urologists
50,41,4,25-2021.00,"Elementary School Teachers, Except Special Education"
50,41,4,11-9179.01,Fitness and Wellness Coordinators
50,41,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
50,41,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
50,41,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
50,39,2,35-3011.00,Bartenders
50,39,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
50,39,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
47,48,5,19-2012.00,Physicists
47,48,4,11-3131.00,Training and Development Managers
47,46,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
47,46,5,17-2199.06,Microsystems Engineers
47,45,5,11-1011.00,Chief Executives
47,45,3,27-2031.00,Dancers
47,45,3,33-2011.00,Firefighters
47,45,5,23-1011.00,Lawyers
47,43,5,29-1229.01,Allergists and Immunologists
47,43,5,25-1011.00,"Business Teachers, Postsecondary"
47,43,3,33-3021.00,Detectives and Criminal Investigators
47,43,3,47-2111.00,Electricians
47,43,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
47,43,3,33-1012.00,First-Line Supervisors of Police and Detectives
47,43,5,25-1125.00,"History Teachers, Postsecondary"
47,43,4,11-3121.00,Human Resources Managers
47,43,5,11-3031.03,Investment Fund Managers
47,43,2,49-9095.00,Manufactured Building and Mobile Home Installers
47,43,5,17-2199.09,Nanosystems Engineers
47,43,4,19-5011.00,Occupational Health and Safety Specialists
47,43,5,29-1221.00,"Pediatricians, General"
47,43,2,43-5031.00,Public Safety Telecommunicators
47,43,4,11-3051.01,Quality Control Systems Managers
47,43,4,25-2057.00,"Special Education Teachers, Middle School"
47,43,4,25-2058.00,"Special Education Teachers, Secondary School"
47,41,3,29-1141.01,Acute Care Nurses
47,41,5,17-1011.00,"Architects, Except Landscape and Naval"
47,41,5,25-1031.00,"Architecture Teachers, Postsecondary"
47,41,5,19-2011.00,Astronomers
47,41,5,29-1181.00,Audiologists
47,41,3,49-3023.00,Automotive Service Technicians and Mechanics
47,41,4,15-2099.01,Bioinformatics Technicians
47,41,5,15-2041.01,Biostatisticians
47,41,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
47,41,5,25-1122.00,"Communications Teachers, Postsecondary"
47,41,5,15-1221.00,Computer and Information Research Scientists
47,41,5,25-1021.00,"Computer Science Teachers, Postsecondary"
47,41,4,29-1141.03,Critical Care Nurses
47,41,4,21-2021.00,"Directors, Religious Activities and Education"
47,41,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
47,41,4,11-9161.00,Emergency Management Directors
47,41,5,25-1032.00,"Engineering Teachers, Postsecondary"
47,41,5,19-1041.00,Epidemiologists
47,41,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
47,41,4,17-2141.01,Fuel Cell Engineers
47,41,2,11-9071.00,Gambling Managers
47,41,5,29-9092.00,Genetic Counselors
47,41,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
47,41,4,11-3051.00,Industrial Production Managers
47,41,5,25-1082.00,"Library Science Teachers, Postsecondary"
47,41,5,21-1013.00,Marriage and Family Therapists
47,41,5,19-2032.00,Materials Scientists
47,41,4,17-2199.05,Mechatronics Engineers
47,41,5,29-1217.00,Neurologists
47,41,5,29-1218.00,Obstetricians and Gynecologists
47,41,5,29-1241.00,"Ophthalmologists, Except Pediatric"
47,41,5,29-1071.00,Physician Assistants
47,41,5,25-1054.00,"Physics Teachers, Postsecondary"
47,41,5,19-3094.00,Political Scientists
47,41,4,27-2012.00,Producers and Directors
47,41,5,25-1066.00,"Psychology Teachers, Postsecondary"
47,41,5,19-1013.00,Soil and Plant Scientists
47,41,5,29-1229.06,Sports Medicine Physicians
47,41,5,19-3022.00,Survey Researchers
47,41,4,19-3099.01,Transportation Planners
47,41,3,25-3041.00,Tutors
47,41,2,35-3031.00,Waiters and Waitresses
47,41,3,11-9199.09,Wind Energy Operations Managers
47,39,4,13-2011.00,Accountants and Auditors
47,39,3,35-1011.00,Chefs and Head Cooks
47,39,5,21-1022.00,Healthcare Social Workers
47,39,5,19-2043.00,Hydrologists
47,39,4,27-3091.00,Interpreters and Translators
47,39,3,31-9092.00,Medical Assistants
47,39,3,49-9062.00,Medical Equipment Repairers
47,39,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
47,39,4,43-9111.00,Statistical Assistants
47,39,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
47,39,3,41-3041.00,Travel Agents
47,36,4,13-1111.00,Management Analysts
47,32,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
44,46,5,25-4022.00,Librarians and Media Collections Specialists
44,45,4,17-2112.03,Manufacturing Engineers
44,43,5,29-1071.01,Anesthesiologist Assistants
44,43,5,19-3033.00,Clinical and Counseling Psychologists
44,43,5,19-3011.00,Economists
44,43,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
44,43,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
44,43,4,13-1041.01,Environmental Compliance Inspectors
44,43,5,21-1023.00,Mental Health and Substance Abuse Social Workers
44,41,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
44,41,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
44,41,5,19-1011.00,Animal Scientists
44,41,5,11-9041.00,Architectural and Engineering Managers
44,41,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
44,41,5,25-1042.00,"Biological Science Teachers, Postsecondary"
44,41,4,11-3051.04,Biomass Power Plant Managers
44,41,3,19-4031.00,Chemical Technicians
44,41,4,19-2031.00,Chemists
44,41,4,27-2022.00,Coaches and Scouts
44,41,4,17-2061.00,Computer Hardware Engineers
44,41,4,11-9021.00,Construction Managers
44,41,5,29-1031.00,Dietitians and Nutritionists
44,41,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
44,41,4,17-2072.00,"Electronics Engineers, Except Computer"
44,41,4,17-3025.00,Environmental Engineering Technologists and Technicians
44,41,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
44,41,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
44,41,4,13-2061.00,Financial Examiners
44,41,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
44,41,4,19-3092.00,Geographers
44,41,4,15-1211.01,Health Informatics Specialists
44,41,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
44,41,4,13-1075.00,Labor Relations Specialists
44,41,4,13-1081.00,Logisticians
44,41,5,15-2021.00,Mathematicians
44,41,3,17-3027.00,Mechanical Engineering Technologists and Technicians
44,41,4,27-2012.03,Media Programming Directors
44,41,4,29-2011.00,Medical and Clinical Laboratory Technologists
44,41,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
44,41,5,29-9099.01,Midwives
44,41,4,25-4013.00,Museum Technicians and Conservators
44,41,3,51-8011.00,Nuclear Power Reactor Operators
44,41,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
44,41,5,29-1022.00,Oral and Maxillofacial Surgeons
44,41,5,29-1123.00,Physical Therapists
44,41,5,25-1065.00,"Political Science Teachers, Postsecondary"
44,41,3,19-4012.01,Precision Agriculture Technicians
44,41,4,21-1093.00,Social and Human Service Assistants
44,41,5,25-1113.00,"Social Work Teachers, Postsecondary"
44,41,5,29-1127.00,Speech-Language Pathologists
44,41,3,29-2055.00,Surgical Technologists
44,41,3,29-2056.00,Veterinary Technologists and Technicians
44,41,3,49-9081.00,Wind Turbine Service Technicians
44,39,5,25-2059.01,Adapted Physical Education Specialists
44,39,5,29-1141.02,Advanced Practice Psychiatric Nurses
44,39,5,19-3091.00,Anthropologists and Archeologists
44,39,5,29-9091.00,Athletic Trainers
44,39,4,19-2021.00,Atmospheric and Space Scientists
44,39,4,17-2041.00,Chemical Engineers
44,39,5,29-1011.00,Chiropractors
44,39,2,51-9161.00,Computer Numerically Controlled Tool Operators
44,39,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
44,39,5,25-4012.00,Curators
44,39,3,13-1041.08,Customs Brokers
44,39,5,29-1021.00,"Dentists, General"
44,39,5,11-9033.00,"Education Administrators, Postsecondary"
44,39,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
44,39,3,47-4011.01,Energy Auditors
44,39,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
44,39,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
44,39,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
44,39,4,19-1012.00,Food Scientists and Technologists
44,39,3,19-4092.00,Forensic Science Technicians
44,39,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
44,39,4,13-1081.02,Logistics Analysts
44,39,4,13-1081.01,Logistics Engineers
44,39,4,13-1161.00,Market Research Analysts and Marketing Specialists
44,39,4,11-9111.00,Medical and Health Services Managers
44,39,5,21-1014.00,Mental Health Counselors
44,39,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
44,39,4,29-1129.02,Music Therapists
44,39,4,15-1244.00,Network and Computer Systems Administrators
44,39,4,17-2161.00,Nuclear Engineers
44,39,3,29-2033.00,Nuclear Medicine Technologists
44,39,5,15-2031.00,Operations Research Analysts
44,39,4,19-1031.03,Park Naturalists
44,39,4,17-2199.07,Photonics Engineers
44,39,5,29-1222.00,"Physicians, Pathologists"
44,39,3,19-4099.01,Quality Control Analysts
44,39,3,49-9097.00,Signal and Track Switch Repairers
44,39,4,11-9151.00,Social and Community Service Managers
44,39,5,15-2041.00,Statisticians
44,39,3,39-7011.00,Tour Guides and Escorts
44,39,4,17-2051.01,Transportation Engineers
44,39,4,11-3031.01,Treasurers and Controllers
44,39,4,11-9121.02,Water Resource Specialists
44,37,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
44,37,3,51-9162.00,Computer Numerically Controlled Tool Programmers
44,37,4,17-2071.00,Electrical Engineers
44,37,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
44,37,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
44,37,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
44,37,4,27-2012.05,Media Technical Directors/Managers
44,37,5,29-1299.01,Naturopathic Physicians
44,37,3,29-2034.00,Radiologic Technologists and Technicians
44,37,5,19-3034.00,School Psychologists
44,36,3,19-4051.00,Nuclear Technicians
44,36,3,25-2011.00,"Preschool Teachers, Except Special Education"
44,34,3,47-4011.00,Construction and Building Inspectors
44,32,2,41-2011.00,Cashiers
44,32,3,33-3051.04,Customs and Border Protection Officers
44,32,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
44,32,4,11-9199.08,Loss Prevention Managers
44,32,2,49-9044.00,Millwrights
44,32,2,41-2031.00,Retail Salespersons
41,45,5,25-1112.00,"Law Teachers, Postsecondary"
41,43,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
41,43,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
41,43,3,39-6012.00,Concierges
41,43,3,11-3051.06,Hydroelectric Production Managers
41,43,5,19-3032.00,Industrial-Organizational Psychologists
41,43,4,11-2021.00,Marketing Managers
41,43,4,15-1299.01,Web Administrators
41,41,3,27-4012.00,Broadcast Technicians
41,41,4,17-2051.00,Civil Engineers
41,41,4,11-9121.01,Clinical Research Coordinators
41,41,2,41-9011.00,Demonstrators and Product Promoters
41,41,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
41,41,4,13-1041.03,Equal Opportunity Representatives and Officers
41,41,3,33-2021.00,Fire Inspectors and Investigators
41,41,3,11-9171.00,Funeral Home Managers
41,41,5,23-1012.00,Judicial Law Clerks
41,41,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
41,41,2,17-3029.01,Non-Destructive Testing Specialists
41,41,3,19-4051.02,Nuclear Monitoring Technicians
41,41,2,41-2022.00,Parts Salespersons
41,41,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
41,40,3,17-3031.00,Surveying and Mapping Technicians
41,39,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
41,39,4,11-3051.03,Biofuels Production Managers
41,39,5,19-2041.01,Climate Change Policy Analysts
41,39,4,15-1299.08,Computer Systems Engineers/Architects
41,39,4,19-1031.00,Conservation Scientists
41,39,3,13-1041.06,Coroners
41,39,4,27-3041.00,Editors
41,39,5,25-1081.00,"Education Teachers, Postsecondary"
41,39,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
41,39,4,11-9081.00,Lodging Managers
41,39,3,29-2035.00,Magnetic Resonance Imaging Technologists
41,39,3,29-2012.00,Medical and Clinical Laboratory Technicians
41,39,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
41,39,5,19-1029.02,Molecular and Cellular Biologists
41,39,2,39-9011.01,Nannies
41,39,5,29-1023.00,Orthodontists
41,39,3,23-2011.00,Paralegals and Legal Assistants
41,39,3,29-2099.08,Patient Representatives
41,39,4,11-3061.00,Purchasing Managers
41,39,3,41-9022.00,Real Estate Sales Agents
41,39,3,29-1126.00,Respiratory Therapists
41,39,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
41,39,4,17-1022.00,Surveyors
41,39,4,15-1255.01,Video Game Designers
41,38,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
41,37,3,11-3012.00,Administrative Services Managers
41,37,4,17-2011.00,Aerospace Engineers
41,37,4,17-2141.02,Automotive Engineers
41,37,4,17-2031.00,Bioengineers and Biomedical Engineers
41,37,3,29-2031.00,Cardiovascular Technologists and Technicians
41,37,2,51-8091.00,Chemical Plant and System Operators
41,37,4,21-1021.00,"Child, Family, and School Social Workers"
41,37,2,39-9011.00,Childcare Workers
41,37,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
41,37,4,15-2051.02,Clinical Data Managers
41,37,3,13-1041.00,Compliance Officers
41,37,4,11-3021.00,Computer and Information Systems Managers
41,37,3,15-1232.00,Computer User Support Specialists
41,37,3,17-3012.00,Electrical and Electronics Drafters
41,37,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
41,37,5,19-1029.03,Geneticists
41,37,3,47-4041.00,Hazardous Materials Removal Workers
41,37,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
41,37,5,17-2112.01,Human Factors Engineers and Ergonomists
41,37,3,17-3026.00,Industrial Engineering Technologists and Technicians
41,37,4,33-3021.06,Intelligence Analysts
41,37,4,17-2141.00,Mechanical Engineers
41,37,5,19-1022.00,Microbiologists
41,37,2,53-5022.00,Motorboat Operators
41,37,3,49-9063.00,Musical Instrument Repairers and Tuners
41,37,4,13-1041.07,Regulatory Affairs Specialists
41,37,4,19-2099.01,Remote Sensing Scientists and Technologists
41,37,4,19-4099.03,Remote Sensing Technicians
41,37,4,11-9199.10,Wind Energy Development Managers
41,36,3,49-3011.00,Aircraft Mechanics and Service Technicians
41,36,4,13-2031.00,Budget Analysts
41,36,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
41,36,4,17-2111.02,Fire-Prevention and Protection Engineers
41,36,2,11-9051.00,Food Service Managers
41,36,3,29-2092.00,Hearing Aid Specialists
41,36,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
41,34,4,29-1128.00,Exercise Physiologists
41,34,3,33-1011.00,First-Line Supervisors of Correctional Officers
41,34,2,49-9099.01,Geothermal Technicians
41,34,4,17-2121.00,Marine Engineers and Naval Architects
41,34,3,19-5012.00,Occupational Health and Safety Technicians
41,34,4,13-2052.00,Personal Financial Advisors
41,34,5,29-1131.00,Veterinarians
41,32,2,51-9011.00,Chemical Equipment Operators and Tenders
41,32,2,43-3041.00,Gambling Cage Workers
41,32,3,29-2099.01,Neurodiagnostic Technologists
41,32,3,43-4141.00,New Accounts Clerks
41,32,4,11-3071.04,Supply Chain Managers
41,30,3,29-2099.05,Ophthalmic Medical Technologists
41,30,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
41,29,4,17-2171.00,Petroleum Engineers
39,39,4,27-3023.00,"News Analysts, Reporters, and Journalists"
39,37,4,15-1299.02,Geographic Information Systems Technologists and Technicians
39,37,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
38,43,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
38,43,2,51-8099.01,Biofuels Processing Technicians
38,41,4,17-1021.00,Cartographers and Photogrammetrists
38,41,3,29-1124.00,Radiation Therapists
38,39,2,51-8013.03,Biomass Plant Technicians
38,39,4,11-9199.02,Compliance Managers
38,39,4,15-1231.00,Computer Network Support Specialists
38,39,3,15-1211.00,Computer Systems Analysts
38,39,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
38,39,4,19-1032.00,Foresters
38,39,3,51-8013.04,Hydroelectric Plant Technicians
38,39,4,15-1299.09,Information Technology Project Managers
38,39,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
38,39,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
38,39,5,19-3041.00,Sociologists
38,39,4,17-2199.11,Solar Energy Systems Engineers
38,39,3,11-9179.02,Spa Managers
38,37,3,43-3021.00,Billing and Posting Clerks
38,37,4,13-1199.04,Business Continuity Planners
38,37,4,27-1021.00,Commercial and Industrial Designers
38,37,4,15-1242.00,Database Administrators
38,37,4,11-3031.00,Financial Managers
38,37,3,19-4071.00,Forest and Conservation Technicians
38,37,3,11-3051.02,Geothermal Production Managers
38,37,3,47-2152.04,Solar Thermal Installers and Technicians
38,37,5,25-2051.00,"Special Education Teachers, Preschool"
38,37,2,33-9093.00,Transportation Security Screeners
38,37,4,17-2199.10,Wind Energy Engineers
38,36,4,15-2011.00,Actuaries
38,36,3,49-2097.00,Audiovisual Equipment Installers and Repairers
38,36,1,35-3023.01,Baristas
38,36,4,15-1241.00,Computer Network Architects
38,36,2,43-4031.00,"Court, Municipal, and License Clerks"
38,36,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
38,36,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
38,36,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
38,36,2,43-5011.01,Freight Forwarders
38,36,5,25-1064.00,"Geography Teachers, Postsecondary"
38,36,5,27-1027.00,Set and Exhibit Designers
38,36,3,41-4011.07,Solar Sales Representatives and Assessors
38,34,4,11-2011.00,Advertising and Promotions Managers
38,34,2,53-1041.00,Aircraft Cargo Handling Supervisors
38,34,5,25-4011.00,Archivists
38,34,3,17-3027.01,Automotive Engineering Technicians
38,34,3,43-4011.00,Brokerage Clerks
38,34,3,49-9061.00,Camera and Photographic Equipment Repairers
38,34,2,47-2031.00,Carpenters
38,34,4,21-1094.00,Community Health Workers
38,34,2,33-3012.00,Correctional Officers and Jailers
38,34,4,15-1243.00,Database Architects
38,34,4,15-1299.03,Document Management Specialists
38,34,3,49-9041.00,Industrial Machinery Mechanics
38,34,4,13-1161.01,Search Marketing Strategists
38,34,3,25-3021.00,Self-Enrichment Teachers
38,34,3,27-4014.00,Sound Engineering Technicians
38,34,3,15-1254.00,Web Developers
38,32,2,31-9099.02,Endoscopy Technicians
38,32,2,53-7041.00,Hoist and Winch Operators
38,32,2,43-4121.00,"Library Assistants, Clerical"
38,32,2,33-9099.02,Retail Loss Prevention Specialists
38,32,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
38,30,4,19-4021.00,Biological Technicians
38,30,2,43-4051.00,Customer Service Representatives
38,30,2,43-4071.00,File Clerks
38,30,2,47-5081.00,Helpers--Extraction Workers
38,30,2,11-9131.00,Postmasters and Mail Superintendents
38,30,2,43-4171.00,Receptionists and Information Clerks
38,30,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
38,29,2,53-3052.00,"Bus Drivers, Transit and Intercity"
38,29,3,43-9031.00,Desktop Publishers
38,29,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
37,35,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
35,43,4,41-3011.00,Advertising Sales Agents
35,41,3,29-2032.00,Diagnostic Medical Sonographers
35,41,5,19-2041.02,Environmental Restoration Planners
35,41,5,29-1041.00,Optometrists
35,41,4,17-2051.02,Water/Wastewater Engineers
35,39,5,11-1011.03,Chief Sustainability Officers
35,39,5,29-1215.00,Family Medicine Physicians
35,39,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
35,39,4,11-9199.01,Regulatory Affairs Managers
35,39,4,19-4061.00,Social Science Research Assistants
35,39,3,31-9099.01,Speech-Language Pathology Assistants
35,39,2,39-7012.00,Travel Guides
35,37,4,27-1011.00,Art Directors
35,37,4,13-1131.00,Fundraisers
35,37,5,19-2041.03,Industrial Ecologists
35,37,3,47-1011.03,Solar Energy Installation Managers
35,36,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
35,36,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
35,36,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
35,36,3,25-4031.00,Library Technicians
35,36,3,31-2011.00,Occupational Therapy Assistants
35,36,3,17-3029.08,Photonics Technicians
